                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3801,                 5.3065,                 2.1532,                      0,                      0,                      0,                      0,                 2.6621,                 6.3236,                 3.5695,               3.58e-06,               3.58e-06,               3.58e-06
                      2,                 2.2717,                  5.549,                 2.1768,                      0,                      0,                      0,                      0,                 2.4954,                 6.1234,                 3.4174,             8.0639e-06,             8.0639e-06,             8.0639e-06
                      3,                 2.2614,                 5.5555,                 2.0946,                      0,                      0,                      0,                      0,                 2.0707,                 5.7467,                  3.095,             1.1485e-05,             1.1485e-05,             1.1485e-05
                      4,                 2.3169,                 5.2289,                 1.8873,                      0,                      0,                      0,                      0,                 1.5703,                 5.5186,                 2.7841,             1.3842e-05,             1.3842e-05,             1.3842e-05
                      5,                 1.5284,                 5.0902,                 1.5571,                      0,                      0,                      0,                      0,                 1.3372,                 5.4969,                 2.5191,             1.5136e-05,             1.5136e-05,             1.5136e-05
                      6,                 1.5235,                 5.1822,                 1.7031,                      0,                      0,                      0,                      0,                 1.2374,                 5.4654,                 2.4751,             1.5367e-05,             1.5367e-05,             1.5367e-05
                      7,                 1.7178,                 4.9896,                 1.6125,                      0,                      0,                      0,                      0,                 1.1874,                 5.4706,                 2.4799,             1.4535e-05,             1.4535e-05,             1.4535e-05
                      8,                 1.2662,                 5.1158,                 1.4707,                      0,                      0,                      0,                      0,                 1.1556,                 5.4817,                 2.4966,             1.2639e-05,             1.2639e-05,             1.2639e-05
                      9,                 1.3516,                 5.2025,                 1.5523,                      0,                      0,                      0,                      0,                 1.1059,                 5.4656,                 2.4583,             9.6803e-06,             9.6803e-06,             9.6803e-06
                     10,                 1.3595,                 5.0217,                 1.5945,                      0,                      0,                      0,                      0,                 1.1086,                 5.4603,                 2.4569,             5.6582e-06,             5.6582e-06,             5.6582e-06
